obj_pt,obj_eta,obj_phi,obj_e,sum_pt,n_tracks,pt1_over_ptobj,pt2_over_ptobj,dr1,dr2,ntrk_r0_0p05,sumpt_r0_0p05,ntrk_r0p05_0p10,sumpt_r0p05_0p10,ntrk_r0p10_0p20,sumpt_r0p10_0p20,ntrk_r0p20_iso,sumpt_r0p20_iso,max_pt,mean_dr,ptw_mean_dr,top2_sumpt_frac,n_tracks_core,sum_pt_core
82.7874,-0.0325238,-3.06812,82.8312,6.577122,5.0,0.026027994,0.01552833,0.19443768,0.17127389,0.0,0.0,1.0,1.1506,4.0,5.426522,0.0,0.0,2.15479,0.13463505,0.1452128,0.52307683,0.0,0.0
82.1552,-0.753352,1.79601,106.592,4.061823,3.0,0.023508675,0.0141289905,0.09512402,0.1899863,0.0,0.0,1.0,1.93136,2.0,2.130463,0.0,0.0,1.93136,0.13311605,0.12679645,0.7612665,0.0,0.0
92.87,-0.775932,1.78528,122.692,5.03821,4.0,0.020796383,0.01249887,0.09934168,0.17032652,0.0,0.0,1.0,1.93136,3.0,3.10685,0.0,0.0,1.93136,0.14939131,0.14068595,0.61373585,0.0,0.0
86.054,-0.0256383,-3.07459,86.2177,4.422332,4.0,0.014938876,0.013370674,0.16716985,0.058115482,0.0,0.0,2.0,2.144703,2.0,2.277629,0.0,0.0,1.28555,0.11533989,0.11671957,0.55087453,0.0,0.0
28.3801,0.985863,-0.313051,43.4572,55.283863,10.0,1.0945804,0.22335827,0.050578035,0.014260561,1.0,6.33893,2.0,32.27798,7.0,16.666952,0.0,0.0,31.0643,0.11470661,0.07054546,0.6765669,1.0,6.33893
20.7891,-0.529207,0.378698,24.423,2.39343,2.0,0.061805464,0.053323615,0.044191428,0.013459129,2.0,2.39343,0.0,0.0,0.0,0.0,0.0,0.0,1.28488,0.02882528,0.029957341,1.0,2.0,2.39343
20.7857,0.653419,-1.30988,25.6768,7.003331,4.0,0.16735303,0.07139043,0.19825895,0.16033138,0.0,0.0,0.0,0.0,4.0,7.003331,0.0,0.0,3.47855,0.15683699,0.1717758,0.70858425,0.0,0.0
20.0992,1.23019,2.3537,37.6109,3.82562,3.0,0.07727074,0.05771424,0.18409464,0.13723895,0.0,0.0,0.0,0.0,3.0,3.82562,0.0,0.0,1.55308,0.1663899,0.16806695,0.7091896,0.0,0.0
130.034,0.614083,-1.65186,155.332,1.54219,1.0,0.011859898,0.0,0.12087664,0.0,0.0,0.0,0.0,0.0,1.0,1.54219,0.0,0.0,1.54219,0.12087664,0.12087664,1.0,0.0,0.0
60.5701,0.370576,-0.126706,64.7769,1.55501,1.0,0.025672898,0.0,0.16295663,0.0,0.0,0.0,0.0,0.0,1.0,1.55501,0.0,0.0,1.55501,0.16295663,0.16295663,1.0,0.0,0.0
