feature,importance
pt1_over_ptobj,0.4044448
pt2_over_ptobj,0.17163739
obj_pt,0.052911278
sumpt_r0_0p05,0.031935915
sum_pt,0.028559394
sum_pt_core,0.027034087
max_pt,0.02623711
obj_eta,0.02555007
obj_e,0.020796832
top2_sumpt_frac,0.018608658
dr1,0.018113343
sumpt_r0p05_0p10,0.017904062
ptw_mean_dr,0.017892865
ntrk_r0p10_0p20,0.01751644
dr2,0.017034221
mean_dr,0.016771449
n_tracks,0.016577888
sumpt_r0p10_0p20,0.016363153
obj_phi,0.015376433
ntrk_r0p05_0p10,0.014122483
ntrk_r0_0p05,0.013120398
n_tracks_core,0.011491679
sumpt_r0p20_iso,0.0
ntrk_r0p20_iso,0.0
