feature,importance_auc_drop
obj_pt,0.087686578767175
pt1_over_ptobj,0.020035430815791955
sumpt_r0_0p05,0.009587786889375116
pt2_over_ptobj,0.009467652562820783
obj_eta,0.006870926808861144
sum_pt,0.0048001126505489156
obj_e,0.004236678512871683
sum_pt_core,0.0014549313845382272
max_pt,0.001312978010753807
dr2,0.001096342339918177
sumpt_r0p05_0p10,0.001024562338935664
top2_sumpt_frac,0.0006633042184666094
ntrk_r0p05_0p10,0.00041153003451444015
obj_phi,0.0003591073117752419
n_tracks,0.0002303438370883093
n_tracks_core,1.0494909890912396e-05
ntrk_r0p20_iso,0.0
sumpt_r0p20_iso,0.0
sumpt_r0p10_0p20,-6.496478789297377e-05
ntrk_r0p10_0p20,-8.748349578246994e-05
mean_dr,-0.00012422863707950427
ntrk_r0_0p05,-0.00024288590224175177
dr1,-0.0010367934437960358
ptw_mean_dr,-0.001574443790506419
