model,feature,importance_auc_drop
XGBoost,obj_pt,0.06159343939020212
XGBoost,iso_ratio,0.013008048893282664
XGBoost,sumpt_r0_0p05,0.008303482854398414
XGBoost,pt1_over_ptobj,0.006225143932934718
XGBoost,core_iso_ratio,0.00544605344622251
XGBoost,sumpt_r0p05_0p10,0.004543525591350406
XGBoost,obj_eta,0.004234662421457092
XGBoost,pt2_over_ptobj,0.0037276412737442532
XGBoost,obj_e,0.0028100613971426824
XGBoost,dr1,0.0016108090995782254
XGBoost,core_frac,0.0010945085692939394
XGBoost,maxpt_over_objpt,0.0009331444223680263
XGBoost,sum_pt_core,0.0007833795036565894
XGBoost,sum_pt,0.000766007636284538
XGBoost,mean_dr,0.0007622041684280934
XGBoost,sumpt_r0p10_0p20,0.0006701926162442362
XGBoost,dr2,0.0006224199809706787
XGBoost,max_pt,0.0005890519686425622
XGBoost,ptw_mean_dr,0.00044327934243271194
XGBoost,mean_z0_sig,0.0004156569943130073
XGBoost,max_abs_d0,0.0003723352256798096
XGBoost,ntrk_r0p05_0p10,0.00036432366572736186
XGBoost,ptw_mean_abs_z0,0.0003269903358468218
XGBoost,max_d0_sig,0.0002740924601996042
XGBoost,mean_abs_d0,0.00024048167332735293
XGBoost,n_tracks,0.00021442387226910942
XGBoost,top2_sumpt_frac,0.0001335799491101186
XGBoost,mean_d0_sig,0.00010636222523030536
XGBoost,n_tracks_core,1.8396915446916573e-05
XGBoost,ntrk_r0p20_iso,0.0
XGBoost,sumpt_r0p20_iso,0.0
XGBoost,obj_phi,-3.1156066482740385e-05
XGBoost,mean_abs_z0,-9.775721639238011e-05
XGBoost,ntrk_r0_0p05,-0.0001758227197699025
XGBoost,ntrk_r0p10_0p20,-0.00020560306383643479
XGBoost,ptw_mean_abs_d0,-0.0002928130750383673
XGBoost,max_z0_sig,-0.00032777260937744135
XGBoost,max_abs_z0,-0.00045908666274341314
HistGradientBoosting,obj_pt,0.0707111341153478
HistGradientBoosting,sumpt_r0_0p05,0.028843504076130455
HistGradientBoosting,iso_ratio,0.013365709746523846
HistGradientBoosting,sumpt_r0p05_0p10,0.008988430767929212
HistGradientBoosting,pt1_over_ptobj,0.008746303622692464
HistGradientBoosting,core_iso_ratio,0.008198793076026778
HistGradientBoosting,pt2_over_ptobj,0.005341336692901377
HistGradientBoosting,obj_eta,0.0053389898723090745
HistGradientBoosting,obj_e,0.003950589230003132
HistGradientBoosting,dr2,0.002083733911330765
HistGradientBoosting,dr1,0.0012587050858999804
HistGradientBoosting,core_frac,0.00118765306934987
HistGradientBoosting,mean_dr,0.0010776222510097133
HistGradientBoosting,obj_phi,0.00093594981709888
HistGradientBoosting,sum_pt,0.0007571868278515304
HistGradientBoosting,mean_d0_sig,0.0007161849048613611
HistGradientBoosting,sumpt_r0p10_0p20,0.00043707510408541594
HistGradientBoosting,ptw_mean_dr,0.0003778111403950346
HistGradientBoosting,max_z0_sig,0.00034236605696802425
HistGradientBoosting,max_d0_sig,0.00012165702150379598
HistGradientBoosting,n_tracks,0.0001187976768739496
HistGradientBoosting,max_abs_z0,5.983043762636253e-05
HistGradientBoosting,max_pt,1.3055875478173995e-05
HistGradientBoosting,ntrk_r0_0p05,1.1761077910232842e-05
HistGradientBoosting,n_tracks_core,0.0
HistGradientBoosting,sum_pt_core,0.0
HistGradientBoosting,maxpt_over_objpt,0.0
HistGradientBoosting,sumpt_r0p20_iso,0.0
HistGradientBoosting,ntrk_r0p20_iso,0.0
HistGradientBoosting,max_abs_d0,-9.98073125435539e-06
HistGradientBoosting,ntrk_r0p10_0p20,-1.9826587761895276e-05
HistGradientBoosting,mean_abs_d0,-2.7838147714676076e-05
HistGradientBoosting,mean_abs_z0,-3.811560341138165e-05
HistGradientBoosting,ptw_mean_abs_z0,-0.00010625432543343027
HistGradientBoosting,ntrk_r0p05_0p10,-0.00015831597765103567
HistGradientBoosting,mean_z0_sig,-0.00016228129520345913
HistGradientBoosting,ptw_mean_abs_d0,-0.00019527165824106962
HistGradientBoosting,top2_sumpt_frac,-0.0003356492945837397
Neural network,obj_pt,0.06149829874389545
Neural network,iso_ratio,0.01609314687385144
Neural network,pt2_over_ptobj,0.013834345541332227
Neural network,sumpt_r0p05_0p10,0.007821386559871746
Neural network,obj_e,0.0049070130336481554
Neural network,ptw_mean_dr,0.004019510225555911
Neural network,mean_dr,0.0036040690308375423
Neural network,maxpt_over_objpt,0.0033932598017796245
Neural network,pt1_over_ptobj,0.0029055527177909157
Neural network,mean_z0_sig,0.0025423619999357383
Neural network,sumpt_r0p10_0p20,0.002530088397987962
Neural network,mean_abs_z0,0.002308057590006407
Neural network,sum_pt_core,0.0017258302835456707
Neural network,sum_pt,0.0013504468885908727
Neural network,sumpt_r0_0p05,0.0013309979501197056
Neural network,max_z0_sig,0.0012551713675372778
Neural network,max_pt,0.0011452484489944403
Neural network,core_iso_ratio,0.0010255875737416043
Neural network,ntrk_r0_0p05,0.0006858111119096844
Neural network,mean_d0_sig,0.0006671983968681294
Neural network,ptw_mean_abs_z0,0.0005791521622363627
Neural network,max_abs_d0,0.0005562504302504268
Neural network,mean_abs_d0,0.0005500461919033528
Neural network,max_abs_z0,0.0005035413792486843
Neural network,ptw_mean_abs_d0,0.00046342962958656475
Neural network,obj_eta,0.0002982889897535923
