feature,importance_auc_drop
obj_pt,0.06149829874389545
iso_ratio,0.01609314687385144
pt2_over_ptobj,0.013834345541332227
sumpt_r0p05_0p10,0.007821386559871746
obj_e,0.0049070130336481554
ptw_mean_dr,0.004019510225555911
mean_dr,0.0036040690308375423
maxpt_over_objpt,0.0033932598017796245
pt1_over_ptobj,0.0029055527177909157
mean_z0_sig,0.0025423619999357383
sumpt_r0p10_0p20,0.002530088397987962
mean_abs_z0,0.002308057590006407
sum_pt_core,0.0017258302835456707
sum_pt,0.0013504468885908727
sumpt_r0_0p05,0.0013309979501197056
max_z0_sig,0.0012551713675372778
max_pt,0.0011452484489944403
core_iso_ratio,0.0010255875737416043
ntrk_r0_0p05,0.0006858111119096844
mean_d0_sig,0.0006671983968681294
ptw_mean_abs_z0,0.0005791521622363627
max_abs_d0,0.0005562504302504268
mean_abs_d0,0.0005500461919033528
max_abs_z0,0.0005035413792486843
ptw_mean_abs_d0,0.00046342962958656475
obj_eta,0.0002982889897535923
n_tracks,0.00025863581423035686
max_d0_sig,0.00021064737936205002
obj_phi,0.00020546818908961928
top2_sumpt_frac,0.0001574527792722602
dr1,6.33102060908497e-05
dr2,9.19845772362482e-06
sumpt_r0p20_iso,0.0
ntrk_r0p20_iso,0.0
n_tracks_core,-3.277456344275009e-05
core_frac,-0.00010083236061653178
ntrk_r0p10_0p20,-0.00010698264906527921
ntrk_r0p05_0p10,-0.0003652947639034565
