feature,importance_auc_drop
obj_pt,0.06159343939020212
iso_ratio,0.013008048893282664
sumpt_r0_0p05,0.008303482854398414
pt1_over_ptobj,0.006225143932934718
core_iso_ratio,0.00544605344622251
sumpt_r0p05_0p10,0.004543525591350406
obj_eta,0.004234662421457092
pt2_over_ptobj,0.0037276412737442532
obj_e,0.0028100613971426824
dr1,0.0016108090995782254
core_frac,0.0010945085692939394
maxpt_over_objpt,0.0009331444223680263
sum_pt_core,0.0007833795036565894
sum_pt,0.000766007636284538
mean_dr,0.0007622041684280934
sumpt_r0p10_0p20,0.0006701926162442362
dr2,0.0006224199809706787
max_pt,0.0005890519686425622
ptw_mean_dr,0.00044327934243271194
mean_z0_sig,0.0004156569943130073
max_abs_d0,0.0003723352256798096
ntrk_r0p05_0p10,0.00036432366572736186
ptw_mean_abs_z0,0.0003269903358468218
max_d0_sig,0.0002740924601996042
mean_abs_d0,0.00024048167332735293
n_tracks,0.00021442387226910942
top2_sumpt_frac,0.0001335799491101186
mean_d0_sig,0.00010636222523030536
n_tracks_core,1.8396915446916573e-05
ntrk_r0p20_iso,0.0
sumpt_r0p20_iso,0.0
obj_phi,-3.1156066482740385e-05
mean_abs_z0,-9.775721639238011e-05
ntrk_r0_0p05,-0.0001758227197699025
ntrk_r0p10_0p20,-0.00020560306383643479
ptw_mean_abs_d0,-0.0002928130750383673
max_z0_sig,-0.00032777260937744135
max_abs_z0,-0.00045908666274341314
