feature,importance
maxpt_over_objpt,0.32834738
pt1_over_ptobj,0.19050501
pt2_over_ptobj,0.10685167
iso_ratio,0.041384008
obj_pt,0.031315446
sumpt_r0_0p05,0.019256108
obj_eta,0.014049765
max_abs_d0,0.01344831
sum_pt_core,0.012363782
obj_e,0.011471405
core_iso_ratio,0.011360352
max_d0_sig,0.0110376915
sum_pt,0.011033489
max_pt,0.010929512
sumpt_r0p10_0p20,0.009480714
ptw_mean_dr,0.009478548
mean_d0_sig,0.009469257
max_z0_sig,0.009421316
sumpt_r0p05_0p10,0.009295621
dr1,0.009288508
mean_abs_d0,0.009241202
ptw_mean_abs_d0,0.008790674
ntrk_r0_0p05,0.008666394
dr2,0.008652704
ptw_mean_abs_z0,0.008615253
mean_z0_sig,0.0085793035
mean_dr,0.0085632
max_abs_z0,0.008527282
mean_abs_z0,0.0082773715
top2_sumpt_frac,0.008224725
obj_phi,0.008132904
core_frac,0.008110624
ntrk_r0p10_0p20,0.007954994
n_tracks,0.0077077853
ntrk_r0p05_0p10,0.0072100796
n_tracks_core,0.004957703
ntrk_r0p20_iso,0.0
sumpt_r0p20_iso,0.0
