feature,importance_auc_drop
obj_pt,0.0507051076471976
iso_ratio,0.01147635240259326
sumpt_r0_0p05,0.008353844619775397
pt2_over_ptobj,0.006740375312489055
pt1_over_ptobj,0.0065780540395089515
obj_eta,0.00584390270093893
sum_pt,0.00487251457211757
obj_e,0.003348057648721481
maxpt_over_objpt,0.0017545934536226104
dr2,0.0012962638950015926
sum_pt_core,0.0010470292201094633
sumpt_r0p05_0p10,0.000981027897906328
max_pt,0.0008808468568236583
core_iso_ratio,0.0007472375842365597
mean_abs_z0,0.0005079536387224692
max_abs_d0,0.0004968368082455266
sumpt_r0p10_0p20,0.00041834524760420155
top2_sumpt_frac,0.0003920172761244789
max_z0_sig,0.0002804084442719068
max_d0_sig,0.000237547750544298
core_frac,8.395927912774326e-05
ptw_mean_abs_d0,5.9756202984040385e-05
sumpt_r0p20_iso,0.0
ntrk_r0p20_iso,0.0
n_tracks_core,-5.778678779488899e-06
n_tracks,-2.539509060028866e-05
ntrk_r0_0p05,-4.3949054753245065e-05
ntrk_r0p10_0p20,-4.6695870675295126e-05
ntrk_r0p05_0p10,-0.0001454516770813541
mean_dr,-0.00019549037090738075
obj_phi,-0.00024073509354816114
ptw_mean_abs_z0,-0.0003341786616143372
mean_z0_sig,-0.00043075774596923466
mean_d0_sig,-0.000453691067582751
mean_abs_d0,-0.0004725041653131923
ptw_mean_dr,-0.0005464090616317252
max_abs_z0,-0.0005994277915994939
dr1,-0.0018814652531933262
