event_id,object,index,n_tracks,conversionType
1,photon,0,1,0.0
1,photon,1,1,0.0
1,jet,0,3,
1,jet,1,2,
1,jet,2,0,
1,jet,3,0,
2,photon,0,1,0.0
2,jet,0,7,
2,jet,1,3,
2,jet,2,2,
2,jet,3,1,
2,jet,4,1,
2,jet,5,0,
2,jet,6,2,
2,jet,7,0,
2,jet,8,1,
3,jet,0,3,
3,jet,1,6,
3,jet,2,0,
3,jet,3,1,
3,jet,4,4,
4,photon,0,1,0.0
4,jet,0,0,
4,jet,1,4,
5,photon,0,2,0.0
5,jet,0,9,
5,jet,1,1,
6,photon,0,0,0.0
6,jet,0,5,
6,jet,1,1,
6,jet,2,1,
6,jet,3,3,
6,jet,4,3,
7,photon,0,1,0.0
7,jet,0,8,
7,jet,1,4,
7,jet,2,0,
7,jet,3,3,
7,jet,4,0,
7,jet,5,3,
8,photon,0,0,0.0
8,jet,0,5,
8,jet,1,6,
8,jet,2,2,
8,jet,3,1,
8,jet,4,2,
8,jet,5,1,
9,photon,0,0,0.0
9,jet,0,8,
9,jet,1,3,
9,jet,2,2,
10,photon,0,0,0.0
10,photon,1,0,0.0
10,jet,0,8,
10,jet,1,1,
10,jet,2,1,
11,photon,0,1,0.0
11,jet,0,11,
11,jet,1,6,
11,jet,2,0,
11,jet,3,2,
11,jet,4,1,
11,jet,5,1,
11,jet,6,1,
11,jet,7,1,
11,jet,8,1,
12,photon,0,0,0.0
12,jet,0,4,
12,jet,1,8,
12,jet,2,0,
12,jet,3,3,
12,jet,4,1,
12,jet,5,3,
12,jet,6,0,
13,jet,0,2,
13,jet,1,7,
13,jet,2,1,
13,jet,3,1,
13,jet,4,0,
14,photon,0,1,0.0
14,jet,0,7,
14,jet,1,4,
14,jet,2,4,
15,jet,0,3,
17,photon,0,1,0.0
17,photon,1,1,0.0
17,jet,0,8,
17,jet,1,2,
18,photon,0,1,0.0
18,jet,0,7,
18,jet,1,1,
18,jet,2,0,
18,jet,3,2,
18,jet,4,2,
18,jet,5,3,
18,jet,6,2,
18,jet,7,0,
18,jet,8,2,
18,jet,9,3,
18,jet,10,4,
18,jet,11,2,
18,jet,12,0,
18,jet,13,1,
18,jet,14,3,
18,jet,15,2,
18,jet,16,1,
18,jet,17,0,
18,jet,18,1,
18,jet,19,1,
18,jet,20,1,
18,jet,21,1,
18,jet,22,0,
18,jet,23,3,
18,jet,24,2,
20,photon,0,1,0.0
20,jet,0,3,
20,jet,1,1,
20,jet,2,3,
21,photon,0,1,0.0
21,jet,0,3,
21,jet,1,7,
21,jet,2,3,
21,jet,3,5,
21,jet,4,3,
21,jet,5,3,
21,jet,6,3,
21,jet,7,2,
21,jet,8,1,
21,jet,9,0,
21,jet,10,2,
21,jet,11,4,
21,jet,12,0,
21,jet,13,1,
21,jet,14,0,
22,photon,0,0,0.0
22,jet,0,4,
22,jet,1,4,
22,jet,2,3,
22,jet,3,5,
22,jet,4,2,
22,jet,5,0,
22,jet,6,1,
22,jet,7,0,
22,jet,8,2,
23,photon,0,1,0.0
23,jet,0,8,
23,jet,1,2,
23,jet,2,5,
24,jet,0,3,
24,jet,1,4,
